epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,299.684,4.49428,3.45341,1.06817,0.0017,0.12088,0.0013,0.00024,4.90661,3.15714,0.86769,0.0014324,0.0014324,0.0014324
88,303.332,4.50439,3.41758,1.09035,0.00316,0.23077,0.00197,0.00061,3.88135,3.82001,0.78119,0.0014258,0.0014258,0.0014258
89,306.986,4.56543,3.49271,1.05584,0.00462,0.27473,0.00295,0.00127,3.40834,3.61205,0.72815,0.0014192,0.0014192,0.0014192
90,310.915,4.7427,3.59383,1.05953,0.00552,0.26374,0.00781,0.00123,4.39985,2.91684,0.807,0.0014126,0.0014126,0.0014126
91,314.905,4.43798,3.59704,1.07182,0.00527,0.27473,0.00488,0.00118,4.16408,3.04163,0.8587,0.001406,0.001406,0.001406
92,318.621,4.5739,3.48671,1.08392,0.00455,0.27473,0.00389,0.00054,4.61045,3.18564,0.90891,0.0013994,0.0013994,0.0013994
93,322.36,4.59242,3.4303,1.04943,0.0054,0.28571,0.00954,0.00109,4.66035,2.8375,0.90121,0.0013928,0.0013928,0.0013928
94,326.046,4.57412,3.56288,1.04752,0.00125,0.16484,0.00086,0.00024,5.02087,3.14316,0.86653,0.0013862,0.0013862,0.0013862
95,329.772,4.80477,3.52008,1.09492,0.00151,0.1978,0.00226,0.00034,4.66242,3.05426,0.91989,0.0013796,0.0013796,0.0013796
96,333.545,4.61625,3.39927,1.0521,0.00386,0.21978,0.01489,0.00284,4.62875,2.56923,0.90545,0.001373,0.001373,0.001373
97,337.173,4.70066,3.54506,1.06353,0.00061,0.04396,0.00147,0.00029,5.12036,3.01085,0.93821,0.0013664,0.0013664,0.0013664
98,340.891,4.52597,3.46875,1.03195,0.00016,0.01099,8e-05,1e-05,5.23206,2.94867,1.01556,0.0013598,0.0013598,0.0013598
99,344.806,4.51091,3.48533,1.07204,0.00445,0.1978,0.0216,0.00387,4.77492,2.70256,0.93409,0.0013532,0.0013532,0.0013532
100,348.356,4.62472,3.36999,1.06561,0.00666,0.2967,0.0134,0.00158,4.5368,2.6411,0.87242,0.0013466,0.0013466,0.0013466
101,351.916,4.56968,3.37497,1.04376,0.00689,0.30769,0.00643,0.0012,4.28576,3.09587,0.76413,0.00134,0.00134,0.00134
102,355.588,4.55794,3.36319,0.98742,0.00568,0.32967,0.00692,0.00105,4.36792,2.97472,0.82491,0.0013334,0.0013334,0.0013334
103,359.252,4.63667,3.54092,0.99048,0.00428,0.21978,0.0037,0.00048,4.70623,2.94817,0.92122,0.0013268,0.0013268,0.0013268
104,362.783,4.52163,3.40944,1.0264,0.00072,0.05495,0.00041,6e-05,5.03935,2.73663,1.12079,0.0013202,0.0013202,0.0013202
105,366.323,4.53792,3.29093,1.06087,0.0004,0.03297,0.00021,2e-05,5.26707,2.8247,1.23628,0.0013136,0.0013136,0.0013136
106,369.923,4.58996,3.32097,1.00334,0.00216,0.07692,0.00198,0.0003,4.86918,2.68778,1.00002,0.001307,0.001307,0.001307
