epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,3466.02,1.15214,0.74893,1.07529,0.76779,0.72414,0.80219,0.47434,1.44182,0.96532,1.27424,0.0005348,0.0005348,0.0005348
76,3512.89,1.13098,0.73866,1.0631,0.7565,0.72483,0.79993,0.47301,1.43523,0.96952,1.26968,0.000515,0.000515,0.000515
77,3559.13,1.15211,0.74481,1.07697,0.73954,0.74138,0.80399,0.47448,1.43796,0.99338,1.26434,0.0004952,0.0004952,0.0004952
78,3605,1.13368,0.72326,1.0672,0.77261,0.71172,0.80358,0.47654,1.43482,0.99685,1.27733,0.0004754,0.0004754,0.0004754
79,3650.88,1.10999,0.70513,1.06583,0.74181,0.72897,0.80013,0.47509,1.43648,0.99758,1.27736,0.0004556,0.0004556,0.0004556
80,3696.73,1.12046,0.69682,1.06622,0.77238,0.71241,0.80064,0.47109,1.44492,0.9949,1.27547,0.0004358,0.0004358,0.0004358
81,3742.55,1.09722,0.70072,1.05122,0.7195,0.7695,0.80393,0.47558,1.44142,1.0066,1.27277,0.000416,0.000416,0.000416
82,3788.34,1.10231,0.71382,1.04986,0.75807,0.72345,0.79858,0.47231,1.44506,1.00942,1.27822,0.0003962,0.0003962,0.0003962
83,3833.96,1.09482,0.69631,1.05557,0.76116,0.69671,0.7913,0.46597,1.46607,1.08882,1.29497,0.0003764,0.0003764,0.0003764
84,3879.66,1.09535,0.69358,1.05175,0.73887,0.74552,0.80114,0.47346,1.44931,0.98989,1.28229,0.0003566,0.0003566,0.0003566
85,3925.35,1.08055,0.67079,1.05012,0.72252,0.76483,0.80354,0.47389,1.45133,1.01772,1.28577,0.0003368,0.0003368,0.0003368
86,3971.03,1.09065,0.66966,1.04848,0.74492,0.74621,0.80557,0.47418,1.4622,0.97948,1.29544,0.000317,0.000317,0.000317
87,4016.88,1.07583,0.67088,1.04278,0.77346,0.70621,0.80149,0.47082,1.44829,1.01179,1.28664,0.0002972,0.0002972,0.0002972
88,4062.7,1.05365,0.65817,1.03814,0.75289,0.73334,0.80002,0.47464,1.42609,0.98837,1.27653,0.0002774,0.0002774,0.0002774
89,4108.91,1.064,0.6654,1.0355,0.75186,0.73973,0.80688,0.47948,1.44681,0.98616,1.28928,0.0002576,0.0002576,0.0002576
90,4155.13,1.05564,0.65611,1.03651,0.76495,0.72044,0.79928,0.47571,1.44711,1.02859,1.28853,0.0002378,0.0002378,0.0002378
91,4224.16,1.01229,0.60096,1.05629,0.77093,0.70791,0.79179,0.47012,1.44973,1.03553,1.28635,0.000218,0.000218,0.000218
92,4269.78,0.99379,0.57463,1.03912,0.74055,0.74621,0.79854,0.47552,1.44442,1.00386,1.28612,0.0001982,0.0001982,0.0001982
93,4315.48,0.99047,0.56876,1.04767,0.7592,0.72345,0.79558,0.47118,1.44191,1.03653,1.28661,0.0001784,0.0001784,0.0001784
94,4361.02,0.98061,0.56827,1.04112,0.76459,0.71655,0.79475,0.47251,1.45112,1.04542,1.29373,0.0001586,0.0001586,0.0001586
95,4406.64,0.97105,0.54505,1.03309,0.7789,0.71448,0.79679,0.47554,1.43556,1.03662,1.28711,0.0001388,0.0001388,0.0001388
96,4452.1,0.96769,0.55268,1.04667,0.76986,0.71862,0.79676,0.47531,1.44477,1.02721,1.29542,0.000119,0.000119,0.000119
97,4497.89,0.95378,0.53834,1.02778,0.77417,0.72345,0.79894,0.47691,1.43839,1.04605,1.28832,9.92e-05,9.92e-05,9.92e-05
98,4543.64,0.95918,0.53608,1.03075,0.76876,0.72345,0.79817,0.47673,1.43684,1.05078,1.28631,7.94e-05,7.94e-05,7.94e-05
99,4589.12,0.94712,0.53518,1.0233,0.7529,0.73034,0.7975,0.47546,1.43519,1.04516,1.28905,5.96e-05,5.96e-05,5.96e-05
100,4634.98,0.93891,0.53671,1.02663,0.76505,0.7269,0.79764,0.47664,1.44319,1.02535,1.29785,3.98e-05,3.98e-05,3.98e-05
